location,sentiment,overall_sentiment_score
Chapra,Positive,0.5575368421052631
Charaideo District,Neutral,0.34815
Charkhari,Positive,0.4754
Charkhi Dadri District,Positive,0.4404
Chatra District,Positive,0.4215
Chatrapur,Negative,-0.4215
Chavakkad,Positive,0.7013000000000001
Chebrolu,Positive,0.44040000000000007
Chelakkara,Neutral,0.0
Chelannur,Positive,0.9362999999999999
Chemnad,Positive,0.296
Chengalpattu,Positive,0.4215
Chengalpattu District,Negative,-0.08264285714285718
Chengamanad,Positive,0.6439199999999999
Chennai,Negative,0.014473668976763165
Chennimalai,Negative,-0.3089
Cherthala,Positive,0.4579
Cherukavu,Positive,0.44040000000000007
Cheruthazham,Neutral,-0.0567
Chettipalayam Coimbatore District,Positive,0.4215
Chettithangal,Positive,0.44040000000000007
Chhabra,Positive,0.7003
Chhapra,Positive,0.8519
Chhatari,Positive,0.44040000000000007
Chhatarpur,Positive,0.4215
Chhatarpur District,Positive,0.5105999999999999
Chhatrapati Shahuji Maharaj Ngr District,Negative,0.010316666666666696
Chhatrapur,Positive,0.5293285714285715
Chhindwara,Neutral,0.3049375
Chidambaram,Positive,0.43095
Chikhali,Negative,-0.3412
Chikhli,Neutral,-0.0258
Chikkaballapura District,Neutral,0.0
Chikkamagaluru,Positive,0.4215
Chikmagalur District,Positive,0.44040000000000007
Chikodi,Positive,0.5267
Chinnachitakunta,Negative,-0.3578
Chinnampalayam,Negative,-0.5849
Chinnasalem,Positive,0.5994
Chinsurah,Positive,0.4754
Chirala,Positive,0.46655
Chirgaon,Positive,0.8555
Chitbara Gaon,Positive,0.5719
Chithode,Positive,0.5719
Chitradurga,Positive,0.44040000000000007
Chitrakoot District,Positive,0.44040000000000007
Chittaranjan,Negative,-0.44040000000000007
Chittaurgarh District,Positive,0.6369
Chittoor,Negative,0.09585555555555557
Chittoor District,Negative,-0.027539047619047612
Chockli,Positive,0.4404
Chogawan,Neutral,0.0
Chomu,Positive,0.44040000000000007
Choornikkara,Positive,0.5994
Chotila,Positive,0.44040000000000007
Choudwar,Neutral,0.33525
Choutuppal,Positive,0.4404
Chowwara,Positive,0.6249
Chunar,Positive,0.3612
Churu,Positive,0.44040000000000007
Coimbatore,Negative,0.02623373015873015
Coimbatore District,Negative,-0.024899999999999995
Colonelganj,Positive,0.4215
Contai,Positive,0.45206666666666667
Cooch Behar,Positive,0.6369
Coochbehar,Positive,0.34
Corbett,Positive,0.4579
Corlim,Positive,0.4404
Cuddalore,Positive,0.62155
Cuddalore District,Negative,-0.20095
Cuddapah,Negative,-0.04630000000000001
Cuncolim,Negative,-0.45050000000000007
Cuttack,Positive,0.46285000000000004
Cuttack District,Negative,0.11247499999999999
Dabhoi,Positive,0.6369
Dabra,Positive,0.4404
Dadhel,Positive,0.4927
Dagshai,Neutral,0.0
Dahej Sir,Positive,0.296
Dahod,Positive,0.8658
Dakor,Positive,0.8548
Dakshin Dinajpur District,Negative,0.12170333333333333
Dakshin Khagrabari,Neutral,0.0
Dakshin Odlabari,Neutral,0.0
Dakshina Kannada District,Negative,-0.012749999999999984
Dalgaon,Positive,0.5994
Dalkhola,Positive,0.6355714285714286
Dalmau,Positive,0.49269999999999997
Dalsinghsarai,Positive,0.57405
Daltonganj,Neutral,0.36918333333333336
Daman,Negative,-0.607
Danga,Negative,-0.5849
Danguwapasi,Positive,0.4215
Darbhanga,Negative,0.059731111111111124
Darbhanga District,Negative,-0.06086825396825398
Darbhanga Division,Positive,0.5859
Daringbadi,Neutral,0.0
Darjeeling,Positive,0.61308
Darjiling,Positive,0.4215
Darjiling District,Positive,0.6352
Darrang District,Positive,0.43095
Darwha,Positive,0.4927
Daryapur Banosa,Positive,0.4754
Dataganj,Positive,0.44040000000000007
Daudnagar,Negative,0.3413
Daund,Positive,0.4215
Dausa,Positive,0.4215
Dausa District,Positive,0.4215
Davanagere,Positive,0.743
Davanagere District,Positive,0.4404
Davangere,Neutral,0.0
Davorlim,Negative,-0.4522
Debagarh,Positive,0.2023
Debagarh District,Positive,0.43095
Debipur,Positive,0.6332
Dediapada,Positive,0.4716333333333333
Deeg,Positive,0.6722
Dehgam,Positive,0.6369
Dehradun,Negative,0.03395833333333334
Dehradun District,Positive,0.9306
Dehri,Negative,-0.021171428571428563
Delhi,Negative,0.03400000000000003
Delhi Division,Negative,-0.033045454545454545
Deoghar,Positive,0.7964
Deolali Pravara,Positive,0.4754
Deoria,Negative,-0.01194761904761906
Deoria District,Neutral,0.30133750000000004
Dera Bassi,Positive,0.4404
Desaiganj,Positive,0.6249
Devadurga,Positive,0.4404
Devakottai,Negative,-0.14215
Devanahalli,Positive,0.4215
Devbhoomi Dwarka District,Positive,0.3393
Devinagar,Negative,-0.5256
Dewas,Positive,0.48341428571428574
Dewas District,Positive,0.6369
Dhalai District,Neutral,0.0
Dhamanagar,Positive,0.4215
Dhamangaon,Neutral,0.0
Dhampur,Neutral,0.28595
Dhamtari,Negative,-0.2392
